gwas.score	mean.score	sd
6.0240242621623	6.01663388002564	2.64073015982732
5.18737024517162	4.0936787439517	1.42243713639325
4.05410554118455	3.25385182678103	0.963629460795093
3.98770395770988	2.76029282683884	0.727382661435746
3.61152611090872	2.42734029620289	0.582603931518673
3.1275510043046	2.18420496816716	0.487022359067633
3.03302610744298	1.99449634954737	0.421217940576884
2.87614290985777	1.83936273166397	0.369444597733411
2.63577433046385	1.71050205036522	0.331624750744568
1.89061877751241	1.60068290256955	0.298513180896108
1.80651798569836	1.50744601381316	0.271634415262347
1.60921880361478	1.42456508383556	0.250116099923952
1.51386506696244	1.35050866553161	0.230113216845683
1.38252956953238	1.28476683846863	0.213534231049954
1.27300313698729	1.22548414517964	0.1999163341211
1.21953964937659	1.17128834210553	0.187546572677092
1.21637682337794	1.12294651437464	0.176902106831749
1.11521930321348	1.07783175679895	0.167169653013514
1.03425925215873	1.03578293671803	0.158896983529415
1.03146534657054	0.99715305434089	0.151733780191616
0.934357097341492	0.961125497967737	0.145187752187752
0.883287264225572	0.927212816936683	0.138657929685076
0.856161565675607	0.895082371730602	0.132696879435008
0.838039540231525	0.864693820465683	0.127236585720753
0.784187844881818	0.836164391724962	0.122007348731432
0.76811293987092	0.809408081916636	0.11759005707892
0.731699924817158	0.783909293354438	0.113513958798316
0.726833514982185	0.759741209975261	0.109294571660723
0.679370008864281	0.736573769512585	0.105176590585355
0.671912559538281	0.714418376619214	0.101179103969792
0.668877840886497	0.693365375280323	0.0980609505343038
0.665986819827995	0.673022890242754	0.0950958976236121
0.665634973279181	0.653624394971644	0.0920832891365111
0.659609583888383	0.634933562499138	0.0893620432008624
0.654381681091766	0.61696831448776	0.0869134580900294
0.653834529793869	0.599568283422958	0.0838627627477267
0.606471533566288	0.582984122677928	0.0810496569500278
0.60467221022107	0.567066729793519	0.0784037924165847
0.597008466197217	0.551465616945229	0.075752373757174
0.590035923133807	0.536915344270901	0.0733255231826874
0.588516279794122	0.522712630382244	0.0709962773969355
0.584032884787613	0.508818233684981	0.0686877957725004
0.564765319452056	0.49579413283722	0.0668147424474442
0.564091624207529	0.482950489955304	0.0650820610934912
0.558007264077711	0.470305699746715	0.0633758591623546
0.514294263965399	0.458184491151088	0.0616960148984984
0.500571359214787	0.446702282038328	0.0602381790694636
0.494415732825748	0.435409239499033	0.0589022420640902
0.488440345396499	0.424245903585418	0.0575736274228587
0.487318601869215	0.413278179025939	0.0563678522057422
0.484102329340515	0.402659509160412	0.0550671084362149
0.45548992883492	0.392253410986196	0.0538233007050243
0.437865972949377	0.382050125132296	0.0527805239992245
0.437865311593763	0.37188428724672	0.0516296884791532
0.41891722943895	0.36241394057449	0.0506611151397586
0.416578266521135	0.352888132882007	0.0496263839542505
0.416569262573768	0.343589578770847	0.0486695507367837
0.410050951512771	0.334328763434207	0.0476615839062622
0.401583015609623	0.325227547713847	0.0467068684850718
0.390062240540754	0.316295394135201	0.0458848879267194
0.382493750769088	0.3075970159097	0.0449744031988965
0.348222247324338	0.299031980421327	0.0440172926154882
0.333454325549269	0.29056938189457	0.0432380468638804
0.296812886478882	0.282347959981942	0.0423372721380735
0.278574113950758	0.274275961234418	0.0415217590751919
0.269193134604613	0.266328613210707	0.0405767751748897
0.262083359023451	0.258523906565072	0.0397950503360827
0.258915364878528	0.250789897544123	0.0389510285109632
0.244389591392894	0.243259519754462	0.0381537816115379
0.242305799812312	0.235860676081919	0.0374255773055864
0.230127826422669	0.228548018399222	0.036793261218748
0.229667312897206	0.22139090886543	0.0360921422784965
0.216685542555729	0.214186444725711	0.0352821995952641
0.20047296341515	0.207067376859856	0.0345334413697007
0.195068123186518	0.200121506514257	0.0337949333542807
0.176500433819885	0.193251919786705	0.0330648320899672
0.169859019881196	0.186484128768974	0.0323395471902539
0.166836745751314	0.17981861698254	0.0316368019858311
0.157178406134011	0.173236088452749	0.0309388112576237
0.156704296221047	0.166647605633132	0.0301154615603654
0.15660955430991	0.160173147296515	0.0293591060210992
0.153655042871467	0.153816262088335	0.0285904586414281
0.14662470977813	0.147676514500932	0.02790147312315
0.146473832776647	0.141540588903857	0.0271310997112311
0.129482133060202	0.135487126014818	0.0265923464621373
0.124252072606413	0.129425938067739	0.0259507947311962
0.117140496796215	0.123585988721869	0.0253209671787599
0.116933119860952	0.117716973621252	0.0246431593646084
0.1168455730646	0.111946039364932	0.0239565567504149
0.094690229373591	0.106303868487001	0.023283315280939
0.0895518558489259	0.100615499219894	0.0226223851967056
0.0862404645207244	0.095005676759762	0.0219411524022284
0.0798612089123746	0.0894925575145496	0.0211745773508639
0.0740146820690202	0.0840837786901648	0.0204094401955298
0.0739398934012229	0.0786347192884961	0.019566892149886
0.0706088347501431	0.0732740146458403	0.0189188610187093
0.0677486026434358	0.0679747939810807	0.0180764881147529
0.063210897144834	0.0627431609951498	0.0173335628338091
0.0606533384467618	0.0576270798447391	0.0167008170811564
0.0585679440517654	0.0525912688791419	0.0159140265740076
0.0528133504782495	0.0476385854142584	0.0150099776083061
0.0484014329503827	0.0426564498041294	0.0140773701349766
0.0361252964860106	0.0377026016771221	0.0131618184336587
0.0266668275757631	0.0328728105032825	0.0122129975062402
0.0254785741770024	0.0281084774967549	0.0112162022575375
0.0244697263036493	0.0234237525088419	0.0102063353377637
0.0235301005822099	0.0187493051486903	0.00909153897871049
0.0120632186876323	0.014095557187744	0.00796581750302573
0.00457085329614597	0.00945727778683422	0.00649989506637351
0.000988023417649414	0.00473096933291367	0.00462114859815614
